V_dc,Vout,Ishot,S,Idc,e
0,1,4.17E-19,3.76E-16,1.08E-05,1.74E-19
0,1,4.29E-19,3.87E-16,1.08E-05,1.79E-19
0,1,4.24E-19,3.82E-16,1.08E-05,1.77E-19
0,1,4.21E-19,3.79E-16,1.08E-05,1.76E-19
0,1,4.41E-19,3.97E-16,1.08E-05,1.84E-19
0,1,4.20E-19,3.79E-16,1.08E-05,1.75E-19
0,1,4.14E-19,3.73E-16,1.08E-05,1.73E-19
0,1,4.18E-19,3.76E-16,1.08E-05,1.74E-19
0,1,4.14E-19,3.72E-16,1.08E-05,1.72E-19
0,1,4.16E-19,3.74E-16,1.08E-05,1.73E-19
,,,,,
0.2508,2,9.79E-19,8.81E-16,2.51E-05,1.76E-19
0.2508,2,1.10E-18,9.89E-16,2.51E-05,1.97E-19
0.2508,2,1.13E-18,1.02E-15,2.51E-05,2.03E-19
0.2508,2,1.03E-18,9.25E-16,2.51E-05,1.84E-19
0.2508,2,1.04E-18,9.34E-16,2.51E-05,1.86E-19
0.2508,2,9.89E-19,8.91E-16,2.51E-05,1.78E-19
0.2508,2,9.69E-19,8.72E-16,2.51E-05,1.74E-19
0.2508,2,1.01E-18,9.09E-16,2.51E-05,1.81E-19
0.2508,2,9.89E-19,8.90E-16,2.51E-05,1.77E-19
0.2508,2,9.76E-19,8.78E-16,2.51E-05,1.75E-19
,,,,,
0.4172,3,1.57E-18,1.41E-15,4.17E-05,1.69E-19
0.4172,3,1.55E-18,1.39E-15,4.17E-05,1.67E-19
0.4172,3,1.51E-18,1.36E-15,4.17E-05,1.63E-19
0.4172,3,1.50E-18,1.35E-15,4.17E-05,1.62E-19
0.4172,3,1.50E-18,1.35E-15,4.17E-05,1.62E-19
0.4172,3,1.50E-18,1.35E-15,4.17E-05,1.62E-19
0.4172,3,1.51E-18,1.36E-15,4.17E-05,1.63E-19
0.4172,3,1.51E-18,1.36E-15,4.17E-05,1.63E-19
0.4172,3,1.52E-18,1.36E-15,4.17E-05,1.64E-19
0.4172,3,1.52E-18,1.37E-15,4.17E-05,1.64E-19
,,,,,
0.7035,4,2.30E-18,2.07E-15,7.04E-05,1.47E-19
0.7035,4,2.32E-18,2.09E-15,7.04E-05,1.49E-19
0.7035,4,2.35E-18,2.12E-15,7.04E-05,1.50E-19
0.7035,4,2.33E-18,2.10E-15,7.04E-05,1.49E-19
0.7035,4,2.31E-18,2.08E-15,7.04E-05,1.48E-19
0.7035,4,2.35E-18,2.12E-15,7.04E-05,1.51E-19
0.7035,4,2.39E-18,2.15E-15,7.04E-05,1.53E-19
0.7035,4,2.31E-18,2.08E-15,7.04E-05,1.48E-19
0.7035,4,2.35E-18,2.12E-15,7.04E-05,1.51E-19
0.7035,4,2.33E-18,2.09E-15,7.04E-05,1.49E-19
0.7035,4,2.37E-18,2.14E-15,7.04E-05,1.52E-19
,,,,,
0.9513,5,2.79E-18,2.51E-15,9.51E-05,1.32E-19
0.9513,5,2.79E-18,2.51E-15,9.51E-05,1.32E-19
0.9513,5,2.80E-18,2.52E-15,9.51E-05,1.32E-19
0.9513,5,2.81E-18,2.53E-15,9.51E-05,1.33E-19
0.9513,5,2.82E-18,2.54E-15,9.51E-05,1.34E-19
0.9513,5,2.80E-18,2.52E-15,9.51E-05,1.32E-19
0.9513,4.953,2.80E-18,2.52E-15,9.51E-05,1.33E-19
0.9513,4.937,2.79E-18,2.51E-15,9.51E-05,1.32E-19
0.9513,4.949,2.80E-18,2.52E-15,9.51E-05,1.32E-19
0.9513,4.947,2.80E-18,2.52E-15,9.51E-05,1.32E-19
