F_LP,DF,Vout,Ishot
"100,000","111,060",1.2032,4.58E-19
"100,000","111,060",1.1814,4.45E-19
"100,000","111,060",1.1723,4.39E-19
"100,000","111,060",1.2023,4.58E-19
"100,000","111,060",1.2878,5.11E-19
"100,000","111,060",1.2803,5.06E-19
"100,000","111,060",1.1579,4.30E-19
"100,000","111,060",1.127,4.11E-19
"100,000","111,060",1.2203,4.69E-19
"100,000","111,060",1.3268,5.36E-19
33000,"36,650",0.3673,-6.42E-20
33000,"36,650",0.3582,-6.99E-20
33000,"36,650",0.3636,-6.65E-20
33000,"36,650",0.3598,-6.89E-20
33000,"36,650",0.4482,-1.36E-20
33000,"36,650",0.3711,-6.18E-20
33000,"36,650",0.3951,-4.68E-20
33000,"36,650",0.3777,-5.77E-20
33000,"36,650",0.3932,-4.80E-20
33000,"36,650",0.4012,-4.30E-20
10000,"12,000",0.2201,-1.56E-19
10000,"12,000",0.2063,-1.65E-19
10000,"12,000",0.1575,-1.95E-19
10000,"12,000",0.1556,-1.96E-19
10000,"12,000",0.1956,-1.71E-19
10000,"12,000",0.1508,-1.99E-19
10000,"12,000",0.1513,-1.99E-19
10000,"12,000",0.1669,-1.89E-19
10000,"12,000",0.175,-1.84E-19
10000,"12,000",0.1502,-2.00E-19
3300,"3,700",0.05234,-2.61E-19
3300,"3,700",0.04948,-2.63E-19
3300,"3,700",0.05148,-2.62E-19
3300,"3,700",0.05361,-2.60E-19
3300,"3,700",0.05411,-2.60E-19
3300,"3,700",0.0506,-2.62E-19
3300,"3,700",0.04948,-2.63E-19
3300,"3,700",0.06067,-2.56E-19
3300,"3,700",0.05205,-2.61E-19
3300,"3,700",0.0462,-2.65E-19
1000,"1,250",0.024,-2.79E-19
1000,"1,250",0.02561,-2.78E-19
1000,"1,250",0.02779,-2.76E-19
1000,"1,250",0.026,-2.77E-19
1000,"1,250",0.03496,-2.72E-19
1000,"1,250",0.03384,-2.73E-19
1000,"1,250",0.02203,-2.80E-19
1000,"1,250",0.02521,-2.78E-19
1000,"1,250",0.0339,-2.73E-19
1000,"1,250",0.02296,-2.79E-19
1000,"1,250",0.02774,-2.76E-19
330,360,0.01247,-2.86E-19
330,360,0.01607,-2.84E-19
330,360,0.01344,-2.85E-19
330,360,0.0119,-2.86E-19
330,360,0.00867,-2.88E-19
330,360,0.01121,-2.87E-19
330,360,0.00989,-2.88E-19
330,360,0.01304,-2.86E-19
330,360,0.01981,-2.81E-19
