F_LP,DF,Vout
"100,000","111,060",1.2032
"100,000","111,060",1.1814
"100,000","111,060",1.1723
"100,000","111,060",1.2023
"100,000","111,060",1.2878
"100,000","111,060",1.2803
"100,000","111,060",1.1579
"100,000","111,060",1.127
"100,000","111,060",1.2203
"100,000","111,060",1.3268
,,
,,
33000,"36,650",0.3673
33000,"36,650",0.3582
33000,"36,650",0.3636
33000,"36,650",0.3598
33000,"36,650",0.4482
33000,"36,650",0.3711
33000,"36,650",0.3951
33000,"36,650",0.3777
33000,"36,650",0.3932
33000,"36,650",0.4012
,,
10000,"12,000",0.2201
10000,"12,000",0.2063
10000,"12,000",0.1575
10000,"12,000",0.1556
10000,"12,000",0.1956
10000,"12,000",0.1508
10000,"12,000",0.1513
10000,"12,000",0.1669
10000,"12,000",0.175
10000,"12,000",0.1502
,,
3300,"3,700",0.05234
3300,"3,700",0.04948
3300,"3,700",0.05148
3300,"3,700",0.05361
3300,"3,700",0.05411
3300,"3,700",0.0506
3300,"3,700",0.04948
3300,"3,700",0.06067
3300,"3,700",0.05205
3300,"3,700",0.0462
,,
1000,"1,250",0.024
1000,"1,250",0.02561
1000,"1,250",0.02779
1000,"1,250",0.026
1000,"1,250",0.03496
1000,"1,250",0.03384
1000,"1,250",0.02203
1000,"1,250",0.02521
1000,"1,250",0.0339
1000,"1,250",0.02296
1000,"1,250",0.02774
,,
330,360,0.01247
330,360,0.01607
330,360,0.01344
330,360,0.0119
330,360,0.00867
330,360,0.01121
330,360,0.00989
330,360,0.01304
330,360,0.01981
330,360,0.01293
